"","results.Hugo_Symbol","results.I","results.III","results.pval","results.or","results.ci.up","results.ci.low","results.adjPval","SampleSummary.Cohort","SampleSummary.SampleSize"
"1","ARID1A",32,8,0.00267723136014434,4.08509674638039,12.1781166413243,1.50251933917214,0.240950822412991,"I",59
"2","CNTN6",10,0,0.0119162022257431,Inf,Inf,1.512516087093,0.536229100158441,"III",36
"3","BCOR",8,0,0.0225440053968745,Inf,Inf,1.11314822440913,0.626253969178288,"I",59
"4","ATF7IP",1,5,0.0278335097412572,0.10937302454995,1.03864269945038,0.00222832737876304,0.626253969178288,"III",36
"5","ERBB2",7,0,0.0420283524351756,Inf,Inf,0.925169664693526,0.65521450240222,"I",59
"6","PIK3CA",18,4,0.0436809668268147,3.47013709656165,15.4913361668251,1.00567941365765,0.65521450240222,"III",36
"7","FAT4",8,11,0.0636812080942309,0.360693143947941,1.1254378543649,0.110502415510905,0.751846762002641,"I",59
"8","PIK3R2",6,0,0.0796768769019829,Inf,Inf,0.744707813590026,0.751846762002641,"III",36
"9","RET",6,0,0.0796768769019829,Inf,Inf,0.744707813590026,0.751846762002641,"I",59
"10","KMT2A",9,1,0.0835385291114046,6.20967240775219,283.50589381135,0.797195830838781,0.751846762002641,"III",36
"11","AMER1",2,5,0.100401960403255,0.221226597221569,1.44702588405552,0.0199688692415368,0.821470585117538,"I",59
"12","DHX9",8,1,0.146279928671624,5.41596359403288,250.158471252397,0.674928764753409,0.856335179734303,"III",36
"13","HUWE1",8,1,0.146279928671624,5.41596359403288,250.158471252397,0.674928764753409,0.856335179734303,"I",59
"14","PTPRD",8,1,0.146279928671624,5.41596359403288,250.158471252397,0.674928764753409,0.856335179734303,"III",36
"15","CTNND1",5,0,0.152894263857043,Inf,Inf,0.571886742441221,0.856335179734303,"I",59
"16","FANCD2",5,0,0.152894263857043,Inf,Inf,0.571886742441221,0.856335179734303,"III",36
"17","CDH1",4,6,0.171267035946861,0.367775324159725,1.68962180701111,0.0705644582862456,0.856335179734303,"I",59
"18","ERBB4",4,6,0.171267035946861,0.367775324159725,1.68962180701111,0.0705644582862456,0.856335179734303,"III",36
"19","TP53",19,17,0.191227629651761,0.534537602305369,1.35972134607014,0.208112420723159,0.905815087824133,"I",59
"20","FAT3",11,11,0.214602767046263,0.524577082604344,1.53998028246396,0.177649436783667,0.906580857478215,"III",36
"21","KMT2B",11,3,0.236539452414373,2.49866476834801,15.0127326984593,0.596769745935366,0.906580857478215,"I",59
"22","ARHGAP35",6,1,0.247194415734748,3.91661710812188,187.208094435353,0.445323444674744,0.906580857478215,"III",36
"23","ATRX",7,1,0.251828015966171,4.65217699833514,218.082979297488,0.557665044559627,0.906580857478215,"I",59
"24","NCOR1",7,1,0.251828015966171,4.65217699833514,218.082979297488,0.557665044559627,0.906580857478215,"III",36
"25","TLE4",7,1,0.251828015966171,4.65217699833514,218.082979297488,0.557665044559627,0.906580857478215,"I",59
"26","EPHA3",4,5,0.292305443275157,0.454910287881064,2.28583157962032,0.0837342618680355,0.96029931819961,"III",36
"27","ATR",8,2,0.309517020077044,2.6425354148389,27.0420223373649,0.485669404851943,0.96029931819961,"I",59
"28","REV3L",7,7,0.375865442885924,0.561265634880308,2.07902759405811,0.151168255959803,0.96029931819961,"III",36
"29","CDK12",5,1,0.403015772088614,3.20769213118285,157.467764164169,0.33820350127638,0.96029931819961,"I",59
"30","EPAS1",5,1,0.403015772088614,3.20769213118285,157.467764164169,0.33820350127638,0.96029931819961,"III",36
"31","ERF",5,1,0.403015772088614,3.20769213118285,157.467764164169,0.33820350127638,0.96029931819961,"I",59
"32","HGF",5,1,0.403015772088614,3.20769213118285,157.467764164169,0.33820350127638,0.96029931819961,"III",36
"33","NOTCH2",5,1,0.403015772088614,3.20769213118285,157.467764164169,0.33820350127638,0.96029931819961,"I",59
"34","RASGRF2",5,1,0.403015772088614,3.20769213118285,157.467764164169,0.33820350127638,0.96029931819961,"III",36
"35","SPTA1",9,8,0.418373801390639,0.63320721568226,2.11813162470178,0.191882364784143,0.96029931819961,"I",59
"36","BRCA2",7,2,0.475220806893553,2.27062062041362,23.6745243169935,0.399828003798319,0.96029931819961,"III",36
"37","CTNNB1",7,2,0.475220806893553,2.27062062041362,23.6745243169935,0.399828003798319,0.96029931819961,"I",59
"38","EPHA2",7,2,0.475220806893553,2.27062062041362,23.6745243169935,0.399828003798319,0.96029931819961,"III",36
"39","MTOR",7,2,0.475220806893553,2.27062062041362,23.6745243169935,0.399828003798319,0.96029931819961,"I",59
"40","RNF43",7,2,0.475220806893553,2.27062062041362,23.6745243169935,0.399828003798319,0.96029931819961,"III",36
"41","SMAD4",7,2,0.475220806893553,2.27062062041362,23.6745243169935,0.399828003798319,0.96029931819961,"I",59
"42","CIC",5,5,0.496293841081563,0.577611967173931,2.72361026359471,0.122307425863941,0.96029931819961,"III",36
"43","ERBB3",5,5,0.496293841081563,0.577611967173931,2.72361026359471,0.122307425863941,0.96029931819961,"I",59
"44","PBRM1",8,3,0.525102275123436,1.71619131261881,10.7659019256051,0.376532881965647,0.96029931819961,"III",36
"45","PTEN",8,3,0.525102275123436,1.71619131261881,10.7659019256051,0.376532881965647,0.96029931819961,"I",59
"46","SPEN",8,3,0.525102275123436,1.71619131261881,10.7659019256051,0.376532881965647,0.96029931819961,"III",36
"47","POLQ",7,6,0.548346899235148,0.676003618529344,2.67878465662426,0.175834819302523,0.96029931819961,"I",59
"48","HMCN1",13,6,0.604464695331411,1.4080400735958,5.03337941002815,0.439186117504648,0.96029931819961,"III",36
"49","DMD",11,9,0.604648457668484,0.69031472118646,2.14354717638981,0.226561553176109,0.96029931819961,"I",59
"50","CTCF",6,2,0.705920838645662,1.91237328115508,20.4428032243079,0.317807001966369,0.96029931819961,"III",36
"51","GNAS",6,2,0.705920838645662,1.91237328115508,20.4428032243079,0.317807001966369,0.96029931819961,"I",59
"52","RASA1",6,2,0.705920838645662,1.91237328115508,20.4428032243079,0.317807001966369,0.96029931819961,"III",36
"53","SCRIB",6,2,0.705920838645662,1.91237328115508,20.4428032243079,0.317807001966369,0.96029931819961,"I",59
"54","ZNRF3",6,2,0.705920838645662,1.91237328115508,20.4428032243079,0.317807001966369,0.96029931819961,"III",36
"55","AR",5,2,0.705920838645663,1.56698685346118,17.3217310820887,0.239782704091609,0.96029931819961,"I",59
"56","CACNA1A",5,2,0.705920838645663,1.56698685346118,17.3217310820887,0.239782704091609,0.96029931819961,"III",36
"57","FGFR4",5,2,0.705920838645663,1.56698685346118,17.3217310820887,0.239782704091609,0.96029931819961,"I",59
"58","FLNA",5,2,0.705920838645663,1.56698685346118,17.3217310820887,0.239782704091609,0.96029931819961,"III",36
"59","LIG3",5,2,0.705920838645663,1.56698685346118,17.3217310820887,0.239782704091609,0.96029931819961,"I",59
"60","MGA",5,2,0.705920838645663,1.56698685346118,17.3217310820887,0.239782704091609,0.96029931819961,"III",36
"61","PARP4",5,2,0.705920838645663,1.56698685346118,17.3217310820887,0.239782704091609,0.96029931819961,"I",59
"62","PLXNB2",5,2,0.705920838645663,1.56698685346118,17.3217310820887,0.239782704091609,0.96029931819961,"III",36
"63","TLR4",5,2,0.705920838645663,1.56698685346118,17.3217310820887,0.239782704091609,0.96029931819961,"I",59
"64","NCOR2",5,4,0.726202160118375,0.74316506903781,4.02959483422608,0.147830600787344,0.96029931819961,"III",36
"65","EP300",7,3,0.737345095462395,1.4749205215651,9.45461260037958,0.309189840147278,0.96029931819961,"I",59
"66","SCAF4",7,3,0.737345095462395,1.4749205215651,9.45461260037958,0.309189840147278,0.96029931819961,"III",36
"67","RPL22",6,5,0.742642337234582,0.704608140883546,3.17630678913234,0.163697193687542,0.96029931819961,"I",59
"68","ZFHX3",6,5,0.742642337234582,0.704608140883546,3.17630678913234,0.163697193687542,0.96029931819961,"III",36
"69","MACF1",9,4,0.760449184124719,1.43467529161931,6.91897210501795,0.362147660069502,0.96029931819961,"I",59
"70","DCHS2",7,5,0.761025027432112,0.836237439939794,3.64605221956429,0.207485238382021,0.96029931819961,"III",36
"71","NIPBL",7,5,0.761025027432112,0.836237439939794,3.64605221956429,0.207485238382021,0.96029931819961,"I",59
"72","CREBBP",8,6,0.768239454559688,0.786375318978757,3.03283770814288,0.214999250032656,0.96029931819961,"III",36
"73","KMT2D",15,8,0.808140369707914,1.19098886825012,3.69244549652008,0.4086741830337,0.996337442105648,"I",59
"74","FAT2",11,6,1,1.14419146613913,4.18283732492509,0.343749662857648,1,"III",36
"75","KMT2C",9,6,1,0.901009356785813,3.40086255137341,0.256075034036106,1,"I",59
"76","APOB",9,5,1,1.11475958145991,4.6399622406001,0.301611203900371,1,"III",36
"77","ARID2",6,3,1,1.24247744970091,8.1968047444759,0.244978360711365,1,"I",59
"78","ATM",9,5,1,1.11475958145991,4.6399622406001,0.301611203900371,1,"III",36
"79","CHD4",5,3,1,1.0183230411281,6.98695258627769,0.184057595739244,1,"I",59
"80","FAT1",6,4,1,0.906616000300326,4.71196664553776,0.197400475749098,1,"III",36
"81","FBXW7",8,4,1,1.25197137512894,6.15469559130101,0.304656590151053,1,"I",59
"82","HLA-B",5,3,1,1.0183230411281,6.98695258627769,0.184057595739244,1,"III",36
"83","KRAS",6,4,1,0.906616000300326,4.71196664553776,0.197400475749098,1,"I",59
"84","MYH9",5,3,1,1.0183230411281,6.98695258627769,0.184057595739244,1,"III",36
"85","NOTCH1",5,3,1,1.0183230411281,6.98695258627769,0.184057595739244,1,"I",59
"86","NOTCH4",6,4,1,0.906616000300326,4.71196664553776,0.197400475749098,1,"III",36
"87","PRKDC",10,6,1,1.02019302383583,3.78415357997954,0.29897492206919,1,"I",59
"88","THBS2",5,3,1,1.0183230411281,6.98695258627769,0.184057595739244,1,"III",36
"89","ZBTB20",8,4,1,1.25197137512894,6.15469559130101,0.304656590151053,1,"I",59
"90","APC",8,5,1,0.972818849512657,4.13334794857901,0.253477775454685,1,"III",36
